rank_vfm,fifa_version,season_label,dataset_gender,sofifa_id,short_name,long_name,age,primary_position,position_group,overall,potential,performance_score,value_eur,wage_eur,annual_wage_eur,total_cost_eur,cost_million_eur,vfm_index,vfm_formula_1_index,vfm_formula_2_index,vfm_formula_3_raw,regression_residual,club_name,league_name,nationality_name,player_url,cost_performance_segment,rank_position_group_vfm
134,22,FIFA 22,male,195905,L. Gutiérrez,Luis Alberto Gutiérrez Herrera,36,CB,DEF,65,65,63.1,130000.0,500.0,26000.0,156000.0,0.156,99.30768830357609,99.46384883660404,99.21919733486024,0.7061626458758874,3.545263543086662,Club Bolívar,Liga de Fútbol Profesional Boliviano,Bolivia,https://sofifa.com/player/195905/luis-gutierrez/220002,low_perf_low_cost__budget_depth,9
135,22,FIFA 22,male,138949,A. Alcáraz,Antolín Alcáraz Viveros,38,CB,DEF,71,71,66.8075,325000.0,600.0,31200.0,356200.0,0.3562,99.30248295247516,99.25563479256677,99.29207225027328,0.7057242494011142,3.6451300751525855,Club Olimpia,Paraguayan Primera División,Paraguay,https://sofifa.com/player/138949/antolin-alcaraz/220002,mid_market,10
147,22,FIFA 22,male,182862,M. Pereira,Victorio Maximiliano Pereira Páez,37,RB,DEF,69,69,66.285,300000.0,500.0,26000.0,326000.0,0.326,99.24001873926396,99.22440268596117,99.20878663265836,0.6826559867841357,3.509748084646916,Club Atlético Peñarol,Uruguayan Primera División,Uruguay,https://sofifa.com/player/182862/maximiliano-pereira/220002,mid_market,11
157,22,FIFA 22,male,214326,C. Vilches,Christian Alberto Vilches González,37,CB,DEF,69,69,65.7975,250000.0,1000.0,52000.0,302000.0,0.302,99.18796522825464,99.17755452605276,99.12550101504344,0.6559757367385469,3.356387157252413,Unión La Calera,Chilian Campeonato Nacional,Chile,https://sofifa.com/player/214326/christian-vilches/220002,mid_market,12
160,22,FIFA 22,male,185243,H. Kambou,Hervé Kambou,36,CB,DEF,62,62,60.625,70000.0,500.0,26000.0,96000.0,0.096,99.17234917495183,99.47946488990682,99.04221539742856,0.6517503598843943,3.191690737871781,Universidad Técnica de Cajamarca,Peruvian Primera División,Côte d'Ivoire,https://sofifa.com/player/185243/herve-kambou/220002,low_perf_low_cost__budget_depth,13
166,22,FIFA 22,male,186977,O. Merlo,Omar Jesús Merlo,35,CB,DEF,70,70,67.535,425000.0,500.0,26000.0,451000.0,0.451,99.14111706834626,99.07865285513508,99.1150903128416,0.6440138139026845,3.3415311338208795,Club Sporting Cristal,Peruvian Primera División,Argentina,https://sofifa.com/player/186977/omar-merlo/220002,mid_market,14
183,22,FIFA 22,male,179822,H. Jele,Happy Quinton Jele,34,CB,DEF,67,67,66.21000000000001,325000.0,500.0,26000.0,351000.0,0.351,99.05262609963044,99.05783145073134,98.99536723752016,0.6071892791637798,3.111888958741197,Orlando Pirates,South African Premier Division,South Africa,https://sofifa.com/player/179822/happy-jele/220002,mid_market,15
191,22,FIFA 22,male,253856,R. Rodríguez,Renier Alexander Rodríguez González,37,LB,DEF,65,65,63.307500000000005,160000.0,500.0,26000.0,186000.0,0.186,99.01098329082296,99.19317057935558,98.91208161990528,0.5980943864610211,2.984207164002271,Metropolitanos de Caracas FC,Venezuelan Primera División,Venezuela,https://sofifa.com/player/253856/renier-rodriguez/220002,low_perf_low_cost__budget_depth,16
195,22,FIFA 22,male,253593,V. Balta,Victor Julio Rodolfo Balta Mori,35,CB,DEF,65,65,63.9575,190000.0,500.0,26000.0,216000.0,0.216,98.99016188641924,99.15152777054811,98.90687626880434,0.5940343952164677,2.980825879052915,Sport Huancayo,Peruvian Primera División,Peru,https://sofifa.com/player/253593/victor-balta/220002,low_perf_low_cost__budget_depth,17
199,22,FIFA 22,male,159034,S. Taylor,Steven Vincent Taylor,35,CB,DEF,70,70,67.955,425000.0,2000.0,104000.0,529000.0,0.529,98.96934048201553,98.8704388110978,98.96413513091456,0.5889846499604974,3.0644991366657166,Wellington Phoenix,Australian Hyundai A-League,England,https://sofifa.com/player/159034/steven-taylor/220002,mid_market,18
204,22,FIFA 22,male,176472,N. Cabrera,Nelson David Cabrera Báez,38,CB,DEF,66,66,62.9525,150000.0,500.0,26000.0,176000.0,0.176,98.94331372651084,99.15673312164904,98.74551038467546,0.5783128019202803,2.8706781866582816,Club Always Ready,Liga de Fútbol Profesional Boliviano,Bolivia,https://sofifa.com/player/176472/nelson-cabrera/220002,low_perf_low_cost__budget_depth,19
206,22,FIFA 22,male,225876,D. Mendoza,David Bernardo Mendoza Ayala,36,LB,DEF,64,64,62.4025,130000.0,500.0,26000.0,156000.0,0.156,98.932903024309,99.20878663265836,98.71427827806986,0.5768334571624252,2.847763543086664,Guaireña FC,Paraguayan Primera División,Paraguay,https://sofifa.com/player/225876/david-mendoza/220002,low_perf_low_cost__budget_depth,20
1,22,FIFA 22,male,177299,A. Gabbarini,Adrián José Gabbarini,35,GK,GK,72,72,70.16,250000.0,500.0,26000.0,276000.0,0.276,100.0,100.0,100.0,1.5398676708581052,8.112258457197036,LDU Quito,Ecuadorian Serie A,Argentina,https://sofifa.com/player/177299/adrian-gabbarini/220002,mid_market,1
2,22,FIFA 22,male,182959,A. Hruška,Aleš Hruška,35,GK,GK,71,71,69.23,210000.0,500.0,26000.0,236000.0,0.236,99.99479464889906,99.99479464889906,99.99479464889906,1.4978738311437316,7.866390185961862,FC Viktoria Plzeň,Czech Republic Gambrinus Liga,Czech Republic,https://sofifa.com/player/182959/ales-hruska/220002,mid_market,2
3,22,FIFA 22,male,182270,W. Sandilands,Wayne Sandilands,37,GK,GK,71,71,68.67,210000.0,500.0,26000.0,236000.0,0.236,99.98958929779812,99.9687678933944,99.9843839466972,1.3940396437895537,7.30639018596186,Orlando Pirates,South African Premier Division,South Africa,https://sofifa.com/player/182270/wayne-sandilands/220002,mid_market,3
