rank_vfm,fifa_version,season_label,dataset_gender,sofifa_id,short_name,long_name,age,primary_position,position_group,overall,potential,performance_score,value_eur,wage_eur,annual_wage_eur,total_cost_eur,cost_million_eur,vfm_index,vfm_formula_1_index,vfm_formula_2_index,vfm_formula_3_raw,regression_residual,club_name,league_name,nationality_name,player_url,cost_performance_segment,rank_practical_vfm
503,22,FIFA 22,male,245822,D. Alemdar,Doğan Alemdar,18,GK,GK,68,83,73.92999999999999,2400000.0,1000.0,52000.0,2452000.0,2.452,97.38691374733226,94.8519077611785,97.74087762219564,0.4190809421208178,2.3380729620838423,Stade Rennais FC,French Ligue 1,Turkey,https://sofifa.com/player/245822/dogan-alemdar/220002,mid_market,11
525,22,FIFA 22,male,260942,D. Fofana,David Datro Fofana,18,ST,ATT,63,83,71.16,1300000.0,700.0,36400.0,1336400.0,1.3364,97.27239602311175,96.31981677164124,97.28801207641456,0.4111317863692808,2.220051331690726,Molde FK,Norwegian Eliteserien,Côte d'Ivoire,https://sofifa.com/player/260942/david-datro-fofana/220002,mid_market,12
526,22,FIFA 22,male,256500,N. Collins,Nnamdi Collins,17,CB,DEF,60,82,68.57,725000.0,500.0,26000.0,751000.0,0.751,97.26719067201084,97.41294050283692,97.02774452136796,0.4110670236746057,2.148340328075108,Borussia Dortmund,German 1. Bundesliga,Germany,https://sofifa.com/player/256500/nnamdi-collins/220002,mid_market,13
538,22,FIFA 22,male,260232,I. Šaranić,Ivan Šaranić,18,RW,ATT,63,82,70.7525,1200000.0,500.0,26000.0,1226000.0,1.226,97.20472645879966,96.4447451980636,97.16828900109311,0.407410213854598,2.1893039115861512,Dinamo Zagreb,Croatian Prva HNL,Croatia,https://sofifa.com/player/260232/ivan-saranic/220002,mid_market,14
557,22,FIFA 22,male,256903,Gonçalo Ramos,Gonçalo Matias Ramos,20,CF,ATT,72,86,77.805,5500000.0,8000.0,416000.0,5916000.0,5.916,97.10582478788194,88.94383426162095,97.8345739420124,0.4037738988582358,2.3645751643371824,SL Benfica,Portuguese Liga ZON SAGRES,Portugal,https://sofifa.com/player/256903/goncalo-matias-ramos/220002,high_perf_high_cost__premium_star,15
578,22,FIFA 22,male,260485,Jung Sang Bin,Sang-Bin Jeong,19,ST,ATT,62,80,69.985,1000000.0,850.0,44200.0,1044200.0,1.0442,96.99651241476236,96.58528967778877,96.89761074384468,0.3988271161772356,2.123139414368609,Suwon Samsung Bluewings,Korean K League 1,Korea Republic,https://sofifa.com/player/260485/sang-bin-jung/220002,mid_market,16
591,22,FIFA 22,male,215363,L. Montipò,Lorenzo Montipò,25,GK,GK,74,80,77.49000000000001,5000000.0,11000.0,572000.0,5572000.0,5.572,96.92884285045024,88.7252095153818,97.64197595127791,0.3952782806028434,2.311338780115122,Hellas Verona,Italian Serie A,Italy,https://sofifa.com/player/215363/lorenzo-montipo/220002,high_perf_high_cost__premium_star,17
618,22,FIFA 22,male,260192,A. Hackford,Antwoine Hackford,17,ST,ATT,59,84,68.45,700000.0,950.0,49400.0,749400.0,0.7494,96.7882983707251,97.12664619228568,96.491593357972,0.3905937528511966,2.0376595144761183,Sheffield United,English League Championship,England,https://sofifa.com/player/260192/antwoine-hackford/220002,mid_market,18
634,22,FIFA 22,male,257288,M. Okoye,Maduka Emilio Okoye,21,GK,GK,71,81,75.74,3600000.0,4000.0,208000.0,3808000.0,3.808,96.7050127531102,90.82296600905732,97.30362812971734,0.3879350604326951,2.224602672699717,Sparta Rotterdam,Holland Eredivisie,Nigeria,https://sofifa.com/player/257288/maduka-okoye/220002,high_perf_high_cost__premium_star,19
641,22,FIFA 22,male,259360,Ayesa,Gaizka Ayesa Burgui,20,GK,GK,67,81,73.17,2100000.0,1000.0,52000.0,2152000.0,2.152,96.66857529540368,94.02946228723128,97.02253917026702,0.3868945204593642,2.148325241646916,Real Sociedad B,Spanish Segunda División,Spain,https://sofifa.com/player/259360/gaizka-ayesa-burgui/220002,mid_market,20
